"Country","Issuer","Currency","Face value","Reference","N# number (with link)","Title","Type","Year range","Shape","Composition","Weight","Diameter","Year","Gregorian year","Mintmark","Comment","Quantity","For exchange","Grade","Collection","Buying price (GBP)","Estimate (GBP)","Private comment","Public comment"
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 41","N# 5320","½ Penny - George VI","Standard circulation coin","1939-1948","Round","Bronze ((97% Copper, 2.5% Zinc, 0.5% Tin))","5.67","25.5","1943","1943","","Melbourne Mint","1","","","","1","","TS A February 22",""
"Australia","Australia","Pound (1910-1966)","0.002083333333333","KM# 61","N# 3149","½ Penny - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coin","1959-1964","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.67","25.5","1964","1964","","Perth Mint","1","","","","0.1","","Norwich E January 19",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1913","1913","","London Mint - Narrow date","1","","","","","","Cape Town 18 A","AUS-02 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1916","1916","I","Calcutta Mint","1","","","","","","Cape Town 18 A","AUS-03 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1917","1917","I","Calcutta Mint","1","","","","","","Cape Town 18 B","AUS-04 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1919","1919","","Melbourne & Sydney Mints - Dot below bottom scroll","1","","","","","","Cape Town 18 B","AUS-05 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1919","1919","","Melbourne & Sydney Mints - Without dots","1","","","","1","","TS A February 22",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1920","1920","","Melbourne & Sydney Mints - Without dots","1","","","","1","","Norwich August 19","AUS-24 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1922","1922","","Melbourne Mint - London obverse; curved base lettering","1","","","","0.99","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1923","1923","","Melbourne Mint","1","","","","1.41","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1924","1924","","Melbourne & Sydney Mints - London obverse","1","","","","0.99","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1927","1927","","Melbourne Mint - London obverse","1","","","","0.99","","Ebay September 19","AUS-25 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 23","N# 1269","1 Penny - George V","Standard circulation coin","1911-1936","Round","Bronze","9.45","30.8","1934","1934","","Melbourne Mint","1","","","","0.99","","Ebay S December 19",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1938","1938","","Melbourne Mint","1","","","","","","Cape Town 18 A","AUS-06 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1941","1941","","Melbourne Mint","1","","","","0.1","","Norwich E December 19",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1942","1942","•","Perth Mint; One dot after ""PENNY""","1","","","","0.25","","Norwich G August 20",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1943","1943","•","Perth Mint; One dot after ""PENNY""","1","","","","0.01","","Norwich D January 20",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1943","1943","•","Perth Mint; One dot after ""PENNY""","1","","","","0.5","","Wayne CB2 March 22",""
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 36","N# 5788","1 Penny - George VI","Standard circulation coin","1938-1948","Round","Bronze","9.45","30.8","1948","1948","","Melbourne Mint","1","","","","1.34","","Ebay June 19","AUS-07 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 43","N# 1561","1 Penny - George VI (without ""IND:IMP"")","Standard circulation coin","1949-1952","Round","Bronze","9.45","30.8","1951","1951","","Melbourne Mint","1","","","","1.34","","Ebay June 19","AUS-08 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 43","N# 1561","1 Penny - George VI (without ""IND:IMP"")","Standard circulation coin","1949-1952","Round","Bronze","9.45","30.8","1952","1952","","Melbourne Mint","1","","","","1.34","","Ebay June 19","AUS-09 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 43","N# 1561","1 Penny - George VI (without ""IND:IMP"")","Standard circulation coin","1949-1952","Round","Bronze","9.45","30.8","1952","1952","•","Perth Mint; One dot after ""AUSTRALIA""","1","","","","1","","Norwich August 19","AUS-26 a"
"Australia","Australia","Pound (1910-1966)","0.004166666666667","KM# 56","N# 1001","1 Penny - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coin","1955-1964","Round","Bronze","9.45","30.8","1962","1962","","Perth Mint; One dot after ""PENNY""","1","","","","0.01","","Norwich D January 20",""
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 18","N# 12495","3 Pence - Edward VII","Standard circulation coin","1910","Round","Silver (.925)","1.41","16","1910","1910","","","1","","","","0.99","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 24","N# 4203","3 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","1.41","16","1917","1917","M","Circulation","1","","","","0.63","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 24","N# 4203","3 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","1.41","16","1918","1918","M","Circulation","1","","","","0.63","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 24","N# 4203","3 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","1.41","16","1921","1921","M","Circulation","1","","","","0.99","","Ebay July 19","AUS-18 a"
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 24","N# 4203","3 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","1.41","16","1926","1926","","Circulation","1","","","","2.5","","Stow-on-the-Wold June 19","AUS-10 a"
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 24","N# 4203","3 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","1.41","16","1927","1927","","Circulation","1","","","","","","Ebay July 19","AUS-16 a"
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 24","N# 4203","3 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","1.41","16","1927","1927","","Circulation","1","","","","1","","Norwich E August 20",""
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 37","N# 2980","3 Pence - George VI","Standard circulation coin","1938-1944","Round","Silver (.925)","1.41","16","1938","1938","","","1","","","","1.2","","Ebay August 19","AUS-22 a"
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 44","N# 9344","3 Pence - George VI (without ""IND:IMP"")","Standard circulation coin","1949-1952","Round","Silver (.500)","1.41","16","1950","1950","","Circulation","1","","","","","","Bath C July 19","AUS-11 a"
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 57","N# 1560","3 Pence - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coin","1955-1964","Round","Silver (.500)","1.41","16","1960","1960","","Circulation","1","","","","0.99","","Ebay August 19","AUS-21"
"Australia","Australia","Pound (1910-1966)","0.0125","KM# 57","N# 1560","3 Pence - Elizabeth II (1st Portrait; with ""F:D:"")","Standard circulation coin","1955-1964","Round","Silver (.500)","1.41","16","1961","1961","","Circulation","1","","","","","","Ebay July 19","AUS-17 a"
"Australia","Australia","Pound (1910-1966)","0.025","KM# 25","N# 1563","6 Pence - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","2.82","19.5","1926","1926","","Serif or Non serif 2; see comments","1","","","","2.2","","Ebay July 19","AUS-19 a"
"Australia","Australia","Pound (1910-1966)","0.025","KM# 38","N# 5321","6 Pence - George VI","Standard circulation coin","1938-1945","Round","Silver (.925)","2.83","19","1938","1938","","Circulation","1","","","","1.8","","Ebay August 19","AUS-27 a"
"Australia","Australia","Pound (1910-1966)","0.025","KM# 38","N# 5321","6 Pence - George VI","Standard circulation coin","1938-1945","Round","Silver (.925)","2.83","19","1942","1942","D","Circulation","1","","","","0.1","","Norwich E December 19",""
"Australia","Australia","Pound (1910-1966)","0.025","KM# 58","N# 3133","6 Pence - Elizabeth II (with ""F:D:"")","Standard circulation coin","1955-1963","Round","Silver (.500)","2.83","19","1962","1962","","Circulation","1","","","","1.31","","Ebay November 19",""
"Australia","Australia","Pound (1910-1966)","0.05","KM# 26","N# 10525","1 Shilling - George V","Standard circulation coin","1911-1936","Round","Silver (.925)","5.65","23.5","1922","1922","","Circulation","1","","","","2.2","","Ebay July 19","AUS-20 a"
"Australia","Australia","Pound (1910-1966)","0.1","KM# 31","N# 12501","1 Florin - George V (Opening of (Old) Parliament House)","Circulating commemorative coin","1927","Round","Silver (.925)","11.31","28.5","1927","1927","","Circulation","1","","","","1","","Norwich E September 19","AUS-28 a"
"Australia","Australia","Pound (1910-1966)","0.1","KM# 40a","N# 21633","1 Florin - George VI","Standard circulation coin","1946-1947","Round","Silver (.500)","11.31","28.5","1946","1946","","Circulation","1","","","","1","","Norwich E September 19","AUS-29 a"
"Australia","Australia","Pound (1910-1966)","0.1","KM# 48","N# 11638","1 Florin - George VI (without ""IND:IMP"")","Standard circulation coin","1951-1952","Round","Silver (.500)","11.31","28.5","1952","1952","","Circulation","1","","","","1","","Norwich E February 20",""
"Australia","Australia","Pound (1910-1966)","0.1","KM# 60","N# 6759","1 Florin - Elizabeth II (1st Portrait - with ""F:D:"")","Standard circulation coin","1956-1963","Round","Silver (.500)","11.31","28.5","1962","1962","","Circulation","1","","","","1","","Norwich E February 20",""
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1966","1966","","Circulation Melbourne Mint, Blunt Right 2nd Claw (when looking at coin)","1","","","","0.06","","Ebay December 19","x"
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1979","1979","","Circulation Canberra Mint","1","","","","0.06","","Ebay December 19","x"
"Australia","Australia","Dollar (1966-date)","0.02","KM# 63","N# 1558","2 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","5.18","21.59","1983","1983","","Circulation Canberra Mint","1","","","","0.06","","Ebay December 19","x"
"Australia","Australia","Dollar (1966-date)","0.05","KM# 64","N# 70","5 Cents - Elizabeth II (2nd Portrait)","Standard circulation coin","1966-1984","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1966","1966","","Circulation London Mint","1","","","","0.1","","Bath A February 20",""
"Australia","Australia","Dollar (1966-date)","0.05","KM# 80","N# 1567","5 Cents - Elizabeth II (3rd Portrait)","Standard circulation coin","1985-1998","Round","Copper-nickel (75% Copper, 25% Nickel)","2.83","19.41","1994","1994","","Circulation","1","","","","0.1","","Bath A February 20",""
"Austria","Austria","First Schilling (1925-1938)","0.01","KM# 2836","N# 1942","1 Groschen","Standard circulation coin","1925-1938","Round","Bronze","1.6","17","1927","1927","","","1","","","","0.1","","Norwich E December 19",""
"Austria","Austria","First Schilling (1925-1938)","0.01","KM# 2836","N# 1942","1 Groschen","Standard circulation coin","1925-1938","Round","Bronze","1.6","17","1932","1932","","","1","","","","0.39","","Ebay July 19","OST-19 a"
"Austria","Austria","First Schilling (1925-1938)","0.02","KM# 2837","N# 1944","2 Groschen","Standard circulation coin","1925-1938","Round","Bronze","3.3","19","1925","1925","","","1","","","","2.5","","Ebay June 19","OST-08 a"
"Austria","Austria","First Schilling (1925-1938)","0.1","KM# 2838","N# 2347","10 Groschen","Standard circulation coin","1925-1929","Round","Copper-nickel","4.5","22.05","1925","1925","","","1","","","","","","Bath C July 19","OST-10 a"
"Austria","Austria","First Schilling (1925-1938)","0.1","KM# 2838","N# 2347","10 Groschen","Standard circulation coin","1925-1929","Round","Copper-nickel","4.5","22.05","1925","1925","","","1","","","","0.1","","Norwich M January 20",""
"Austria","Austria","First Schilling (1925-1938)","1","KM# 2840","N# 6223","1 Schilling","Standard circulation coin","1925-1932","Round","Silver (.640)","6","25","1925","1925","","","1","","","","0.5","","Norwich E January 19",""
"Austria","Austria","First Schilling (1925-1938)","1","KM# 2851","N# 10087","1 Schilling","Standard circulation coin","1934-1935","Round","Copper-nickel","7","26","1934","1934","","","1","","","","","","Ebay July 19","OST-13 a"
"Austria","Austria","Second Schilling (1945-2001)","0.02","KM# 2876","N# 745","2 Groschen","Standard circulation coin","1950-1994","Round","Aluminium","0.9","18.02","1952","1952","","","1","","","","0.08","","Norwich M August 19","OST-21 a"
"Austria","Austria","Second Schilling (1945-2001)","0.02","KM# 2876","N# 745","2 Groschen","Standard circulation coin","1950-1994","Round","Aluminium","0.9","18.02","1957","1957","","","1","","","","0.08","","Norwich M August 19","OST-22 a"
"Austria","Austria","Second Schilling (1945-2001)","0.1","KM# 2874","N# 1903","10 Groschen","Standard circulation coin","1947-1949","Round","Zinc","3.5","21","1949","1949","","","1","","","","0.08","","Norwich M November 19",""
"Austria","Austria","Second Schilling (1945-2001)","0.1","KM# 2878","N# 654","10 Groschen","Standard circulation coin","1951-2001","Round","Aluminium","1.1","19.8","1983","1983","","","1","","","","0.2","","Kendal July 19","OST-11 a"
"Austria","Austria","Second Schilling (1945-2001)","0.1","KM# 2878","N# 654","10 Groschen","Standard circulation coin","1951-2001","Round","Aluminium","1.1","19.8","1986","1986","","","1","","","","0.2","","Kendal July 19","OST-12 a"
"Austria","Austria","Second Schilling (1945-2001)","0.5","KM# 2870","N# 1904","50 Groschen","Standard circulation coin","1946-1955","Round","Aluminium-magnesium","1.4","22","1947","1947","","","1","","","","2","","Ebay July 19","OST-20 a"
"Austria","Austria","Second Schilling (1945-2001)","0.5","KM# 2885","N# 655","50 Groschen","Standard circulation coin","1959-2001","Round","Aluminium-bronze (91.5% Bronze, 8.5 Aluminum)","3","19.5","1974","1974","","","1","","","","0.08","","Norwich M August 19","OST-23 a"
"Austria","Austria","Second Schilling (1945-2001)","1","KM# 2871","N# 739","1 Schilling","Standard circulation coin","1946-1957","Round","Aluminium-magnesium","2","25","1946","1946","","","1","","","","0.25","","Norwich G March 20",""
"Austria","Austria","Second Schilling (1945-2001)","1","KM# 2886","N# 740","1 Schilling","Standard circulation coin","1959-2001","Round","Aluminium-bronze (91.5% Bronze, 8.5% Aluminum)","4.2","22.5","1971","1971","","","1","","","","0.25","","Norwich April 19","OST-09 a"
"Austria","Austria","Second Schilling (1945-2001)","1","KM# 2886","N# 740","1 Schilling","Standard circulation coin","1959-2001","Round","Aluminium-bronze (91.5% Bronze, 8.5% Aluminum)","4.2","22.5","1990","1990","","","1","","","","0.06","","Ebay December 19","x"
"Austria","Austria","Second Schilling (1945-2001)","2","KM# 2872","N# 1943","2 Schilling","Standard circulation coin","1946-1952","Round","Aluminium-magnesium","2.8","28","1947","1947","","","1","","","","","","Ebay July 19","OST-14 a"
"Austria","Austria","Second Schilling (1945-2001)","5","KM# 2879","N# 1905","5 Schilling","Standard circulation coin","1952-1957","Round","Aluminium-magnesium","4","31","1952","1952","","","1","","","","0.25","","Norwich G March 20",""
"Austria","Austria","Second Schilling (1945-2001)","5","KM# 2889a","N# 742","5 Schilling (Copper-nickel)","Standard circulation coin","1968-2001","Round","Copper-nickel","4.8","23.5","1970","1970","","","1","","","","0.2","","Kendal July 19","OST-15 a"
"Austria","Austria","Second Schilling (1945-2001)","10","KM# 2882","N# 1941","10 Schilling","Standard circulation coin","1957-1973","Round","Silver (.640)","7.5","27","1958","1958","","","1","","","","0.2","","Kendal July 19","OST-16 a"
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.008333333333333","KM# 2110","N# 7111","½ Kreuzer - Franz I","Standard circulation coin","1816","Round","Copper","4.38","22.9","1816","1816","A","","1","","","","14.51","","Istanbul January 20",""
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.016666666666667","KM# 2113","N# 3169","1 Kreuzer - Franz I","Standard circulation coin","1816","Round","Copper","8.69","26.6","1816","1816","A","Vienna","1","","","","1","","Norwich D January 20",""
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.016666666666667","KM# 2185","N# 4847","1 Kreuzer - Franz Joseph I","Standard circulation coin","1851","Round","Copper","5.4","22.5","1851","1851","A","","1","","","","1.19","","Ebay June 19","OST-02 a"
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.016666666666667","KM# 2185","N# 4847","1 Kreuzer - Franz Joseph I","Standard circulation coin","1851","Round","Copper","5.4","22.5","1851","1851","A","","1","","","","0.69","","Ebay July 19","OST-17 a"
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.05","KM# 2116","N# 4684","3 Kreutzer - Franz I","Standard circulation coin","1812","Round","Copper","15.56","33","1812","1812","B","","1","","","","14.51","","Istanbul January 20",""
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.33333333333333","KM# 2140","N# 7076","20 Kreuzer - Franz II","Standard circulation coin","1804-1806","Round","Silver (.583)","6.7","27.88","1806","1806","B","","1","","","","8.76","","Ebay February 20",""
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","0.33333333333333","KM# 2141","N# 18835","20 Kreuzer - Franz I","Standard circulation coin","1806-1814","Round","Silver (.583)","6.68","28","1808","1808","B","","1","","","","1","","Norwich E February 22",""
"Austria","Austria - Habsburg","Austro-Hungarian gulden (1754-1857)","2","KM# T1","N# 7393","1 Thaler - Maria Theresia","Standard circulation coin","1780-2022","Round","Silver (.833)","28.0668","42","1780","1780-2022","","All coins struck from 1781 to the present  retain the 1780 year mark.","1","","","","","","Bath B March 19","OST-01"
"Austria","Austria - Habsburg","Austro-Hungarian gulden (decimalized, 1857-1892)","0.005","KM# 2182","N# 19281","5/10 Kreuzer - Franz Joseph I (small eagle)","Standard circulation coin","1858-1866","Round","Copper","1.7","17.2","1858","1858","A","","1","","","","2.14","","Ebay May 19","OST-03 a"
"Austria","Austria - Habsburg","Austro-Hungarian gulden (decimalized, 1857-1892)","0.01","KM# 2186","N# 2360","1 Kreuzer - Franz Joseph I","Standard circulation coin","1858-1881","Round","Copper","3.15","19.25","1860","1860","B","","1","","","","0.1","","Norwich E December 19",""
"Austria","Austria - Habsburg","Austro-Hungarian gulden (decimalized, 1857-1892)","0.2","KM# 2212","N# 18273","20 Kreuzer - Franz Joseph I","Standard circulation coin","1868-1872","Round","Silver (.500)","2.7","21","1870","1870","","","1","","","","2.5","","Norwich October 19","OST-25 a"
"Austria","Austria - Habsburg","Austro-Hungarian krone (1892-1918)","0.02","KM# 2801","N# 2082","2 Heller - Franz Joseph I","Standard circulation coin","1892-1915","Round","Bronze","3.35","19","1897","1897","","","1","","","","1","","Norwich August 19","OST-24 a"
"Austria","Austria - Habsburg","Austro-Hungarian krone (1892-1918)","0.02","KM# 2801","N# 2082","2 Heller - Franz Joseph I","Standard circulation coin","1892-1915","Round","Bronze","3.35","19","1903","1903","","","1","","","","0.1","","Norwich E December 19",""
"Austria","Austria - Habsburg","Austro-Hungarian krone (1892-1918)","0.1","KM# 2802","N# 2086","10 Heller - Franz Joseph I","Standard circulation coin","1892-1911","Round","Nickel","3","18.9","1893","1893","","","1","","","","0.38","","Ebay July 19","OST-18 a"
